#v_y          v_x           g             f                sin(angulo)    angulo
11.1917046307 2.14894099052 9.77496012935 0.00357185225753 0.928485826881 68.2
19.6051620506 1.88453068061 9.7648217662 0.00460532454605 0.936059535739 69.4
24.6691795548 1.06944872341 9.86249157929 -0.00535082357709 0.30236989075 162.4
24.1462281732 1.24400124841 9.78144483771 0.00291082184379 0.733729864503 47.2
20.6590421563 2.00686173386 9.86453754984 -0.0055593832661 0.5 30.0
25.6373622865 2.29918880549 9.76735818052 0.00434677058967 0.877982975428 61.4
19.5155312267 0.298630548584 9.72627125394 0.0085350403729 0.901832526405 115.6
15.5489459976 1.04962026377 9.72681887279 0.00847921786019 0.997052752227 94.4
25.2202884922 2.06503690753 9.732516598 0.00789840998994 0.999742609323 88.7
21.9775614154 1.25826376651 9.76705371845 0.00437780647847 0.825113498278 124.4
17.6014927477 1.75448816536 9.74988732293 0.00612769389142 0.877982975428 118.6
13.0967937777 0.262325789386 9.76472686075 0.00461499890425 0.855364260161 121.2
20.700024461 1.90021812233 9.78302569502 0.0027496743102 0.905568799011 64.9
11.4825496932 1.08347883598 9.77703953309 0.00335988449606 0.626603811364 38.8
28.1092336048 1.02347992302 9.81564718018 -0.000575655471618 0.702153052995 135.4
13.6216339825 1.12353019598 9.76783186636 0.00429848457103 0.838670567945 123.0
26.0153430879 1.04546101164 9.72633603654 0.0085284366427 0.943800951583 109.3
12.9854186237 2.26828611239 9.71405500125 0.0097803260699 0.92587058481 112.2
29.6801693764 1.63079838067 9.78200207346 0.00285401901534 0.901832526405 64.4
17.8513865643 0.267534659646 9.75076774726 0.0060379462531 0.958819734868 106.5
22.7427993214 0.243301334175 9.71850444534 0.00932676398211 0.987688340595 81.0
15.1096497765 1.36059953637 9.86509614572 -0.00561632474235 0.30236989075 17.6
20.8398441049 1.74360914575 9.77982379566 0.00307606568242 0.727772757657 46.7
24.1044156855 1.79011656463 9.86338086671 -0.00544147468978 0.46329603512 27.6
26.9225430326 0.588630798911 9.71850443644 0.00932676488848 0.987688340595 81.0
26.2864966496 0.788406058999 9.78196611135 0.00285768487729 0.769399555047 50.3
23.3886195804 2.45585801658 9.70465602348 0.0107384277794 0.977415894286 77.8
10.8351604427 2.5425414162 9.88741752758 -0.00789169496217 0.199367934417 11.5
10.6596468002 0.767527469299 9.77078085554 0.00399787405341 0.978867388762 101.8
16.7605052851 1.42575347627 9.76547524506 0.00453871100337 0.780430407338 128.7
26.8837152363 1.9526434356 9.7830255665 0.00274968741098 0.905568799011 64.9
14.3360206872 0.323673926154 9.77412989042 0.00365648415719 0.758134336198 130.7
20.7198261197 2.28775121204 9.88183396589 -0.00732252455556 0.257132793155 14.9
18.044044711 0.293595306288 9.76412000171 0.00467686017207 0.800731370949 126.8
10.4099097673 2.36876938692 9.71867020884 0.00930986658131 0.911403276635 114.3
29.6663539242 2.60156079785 9.77134196952 0.0039406758897 0.975916761939 102.6
25.3851457552 1.76118340413 9.74988736385 0.00612768971942 0.877982975428 118.6
16.5087836665 2.57197787569 9.78347918667 0.00270344682236 0.746638182285 48.3
18.2694511806 0.787573992246 9.7332048009 0.00782825678907 0.993960955455 83.7
27.1401607528 0.834328371268 9.72991923847 0.00816317650651 0.999945169366 89.4
20.5570223884 2.66072779851 9.86338092509 -0.0054414806408 0.46329603512 27.6
20.996314351 0.377530432744 9.75417124188 0.00569100490557 0.960779154158 106.1
13.3031962982 1.38933172435 9.72547396025 0.00861631394031 0.990509463238 82.1
25.7496824269 0.923834363712 9.73030577551 0.00812377415758 0.995884398616 95.2
19.3559570463 2.22045509831 9.86453745294 -0.00555937338823 0.5 30.0
17.623614269 0.305748002438 9.77496014339 0.00357185082712 0.928485826881 68.2
21.0115035658 2.54223637339 9.73877565694 0.00726038155535 0.950515731628 71.9
27.8083024112 1.01545015316 9.72625258852 0.00853694306635 0.999945169366 90.6
28.5256114854 2.67050574539 9.77193339503 0.00388038786628 0.931055815863 68.6
13.3438346608 1.03809591478 9.78274154921 0.00277863922414 0.917060074385 66.5
10.1370868194 0.907867088838 9.77127020481 0.00394799135515 0.977415894286 102.2
10.1223467749 0.244287065229 9.72765023278 0.00839447168355 0.991444861374 82.5
10.4333664704 0.329017699725 9.7687663252 0.00420322882753 0.769399555047 129.7
14.48056147 0.545153903287 9.87488835167 -0.00661451087315 0.114937150493 6.6
